F#:minmaj7: (0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0), 1
G:minmaj7: (0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0), 1
F#:dim7: (1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0), 1
Ab:dim: (0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1), 1
Bb:13: (1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0), 1
A:hdim7: (1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0), 2
Cb:min6: (0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1), 2
F:dim: (0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1), 2
C:minmaj7: (1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1), 2
Eb:minmaj7: (0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0), 2
Bb:minmaj7: (0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0), 2
G:dim: (0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0), 2
C:13: (1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0), 2
Db:minmaj7: (1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0), 2
C:9: (1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0), 3
A:minmaj7: (1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0), 3
F:13: (1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0), 3
C#:9: (0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1), 3
Ab:dim7: (0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1), 4
Bb:9: (1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0), 4
C:11: (1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0), 5
B:13: (0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1), 5
